episode,steps,epsilon,reached_goal
1,36,0.4000,true
2,120,0.3880,true
3,60,0.3764,true
4,44,0.3651,true
5,34,0.3541,true
6,44,0.3435,true
7,54,0.3332,true
8,70,0.3232,true
9,32,0.3135,true
10,22,0.3041,true
11,26,0.2950,true
12,38,0.2861,true
13,18,0.2775,true
14,30,0.2692,true
15,30,0.2611,true
16,16,0.2533,true
17,26,0.2457,true
18,12,0.2383,true
19,24,0.2312,true
20,14,0.2242,true
21,26,0.2175,true
22,24,0.2110,true
23,28,0.2047,true
24,22,0.1985,true
25,12,0.1926,true
26,12,0.1868,true
27,12,0.1812,true
28,18,0.1758,true
29,24,0.1705,true
30,10,0.1654,true
31,10,0.1604,true
32,14,0.1556,true
33,16,0.1509,true
34,12,0.1464,true
35,10,0.1420,true
36,12,0.1377,true
37,14,0.1336,true
38,20,0.1296,true
39,10,0.1257,true
40,10,0.1219,true
41,12,0.1183,true
42,14,0.1147,true
43,14,0.1113,true
44,20,0.1080,true
45,12,0.1047,true
46,12,0.1016,true
47,10,0.0985,true
48,12,0.0956,true
49,10,0.0927,true
50,22,0.0899,true
51,10,0.0872,true
52,10,0.0846,true
53,10,0.0821,true
54,10,0.0796,true
55,12,0.0772,true
56,10,0.0749,true
57,12,0.0727,true
58,10,0.0705,true
59,10,0.0684,true
60,10,0.0663,true
61,18,0.0643,true
62,10,0.0624,true
63,10,0.0605,true
64,10,0.0587,true
65,12,0.0569,true
66,10,0.0552,true
67,12,0.0536,true
68,10,0.0520,true
69,10,0.0504,true
70,12,0.0489,true
71,10,0.0474,true
72,10,0.0460,true
73,10,0.0446,true
74,10,0.0433,true
75,10,0.0420,true
76,14,0.0407,true
77,10,0.0395,true
78,10,0.0383,true
79,10,0.0372,true
80,10,0.0361,true
81,10,0.0350,true
82,10,0.0339,true
83,10,0.0329,true
84,12,0.0319,true
85,10,0.0310,true
86,10,0.0300,true
87,12,0.0291,true
88,10,0.0283,true
89,10,0.0274,true
90,10,0.0266,true
91,12,0.0258,true
92,10,0.0250,true
93,10,0.0243,true
94,10,0.0235,true
95,10,0.0228,true
96,10,0.0222,true
97,10,0.0215,true
98,10,0.0208,true
99,10,0.0202,true
100,10,0.0200,true
