row,col,up,down,left,right,best_action,best_q
0,0,0.0000,-5.6819,0.0000,-5.6128,R,-5.6128
0,1,0.0000,0.0000,-5.4416,-5.3657,R,-5.3657
0,2,0.0000,-5.0314,-5.2138,0.0000,D,-5.0314
0,4,0.0000,-2.2411,0.0000,-1.0000,R,-1.0000
0,5,0.0000,0.0000,0.0000,0.0000,G,0.0000
1,0,-5.8499,-6.0020,0.0000,0.0000,U,-5.8499
1,2,-4.8642,-4.5951,0.0000,0.0000,D,-4.5951
1,4,-1.9000,-3.4052,0.0000,-1.9000,U,-1.9000
1,5,-1.0000,0.0000,-2.5502,0.0000,U,-1.0000
2,0,-6.0839,-6.1887,0.0000,0.0000,U,-6.0839
2,2,-4.6074,0.0000,0.0000,-4.0612,R,-4.0612
2,3,0.0000,0.0000,-3.8061,-3.4343,R,-3.4343
2,4,-2.7100,-3.2965,-3.8242,0.0000,U,-2.7100
3,0,-6.2645,-6.3335,0.0000,0.0000,U,-6.2645
3,4,-3.4390,-4.2302,0.0000,-3.6150,U,-3.4390
3,5,0.0000,0.0000,-3.5537,0.0000,L,-3.5537
4,0,-6.4602,-6.3942,0.0000,-6.1258,R,-6.1258
4,1,0.0000,0.0000,-6.4688,-5.6953,R,-5.6953
4,2,0.0000,-5.5318,-5.8179,-5.2170,R,-5.2170
4,3,0.0000,0.0000,-5.6243,-4.6856,R,-4.6856
4,4,-4.0951,-4.3724,-4.8530,0.0000,U,-4.0951
5,0,-6.5132,0.0000,0.0000,0.0000,U,-6.5132
5,2,-5.4835,0.0000,0.0000,0.0000,U,-5.4835
5,4,-4.3171,0.0000,0.0000,-4.1640,R,-4.1640
5,5,0.0000,0.0000,-4.1797,0.0000,L,-4.1797
