row,col,up,down,left,right,best_action,best_q
0,0,0.0000,0.0000,0.0000,0.0000,-,0.0000
0,1,0.0000,0.0000,0.0000,0.0000,-,0.0000
0,2,0.0000,0.0000,0.0000,0.0000,-,0.0000
0,4,0.0000,0.0000,0.0000,0.0000,-,0.0000
0,5,0.0000,0.0000,0.0000,0.0000,G,0.0000
1,0,0.0000,0.0000,0.0000,0.0000,-,0.0000
1,2,0.0000,0.0000,0.0000,0.0000,-,0.0000
1,4,0.0000,0.0000,0.0000,0.0000,-,0.0000
1,5,0.0000,0.0000,0.0000,0.0000,-,0.0000
2,0,0.0000,0.0000,0.0000,0.0000,-,0.0000
2,2,0.0000,0.0000,0.0000,0.0000,-,0.0000
2,3,0.0000,0.0000,0.0000,0.0000,-,0.0000
2,4,0.0000,0.0000,0.0000,0.0000,-,0.0000
3,0,0.0000,0.0000,0.0000,0.0000,-,0.0000
3,4,0.0000,0.0000,0.0000,0.0000,-,0.0000
3,5,0.0000,0.0000,0.0000,0.0000,-,0.0000
4,0,0.0000,0.0000,0.0000,0.0000,-,0.0000
4,1,0.0000,0.0000,0.0000,0.0000,-,0.0000
4,2,0.0000,0.0000,0.0000,0.0000,-,0.0000
4,3,0.0000,0.0000,0.0000,0.0000,-,0.0000
4,4,0.0000,0.0000,0.0000,0.0000,-,0.0000
5,0,0.0000,0.0000,0.0000,0.0000,-,0.0000
5,2,0.0000,0.0000,0.0000,0.0000,-,0.0000
5,4,0.0000,0.0000,0.0000,0.0000,-,0.0000
5,5,0.0000,0.0000,0.0000,0.0000,-,0.0000
