row,col,up,down,left,right,best_action,best_q
0,0,0.0000,-5.6819,0.0000,-5.5149,R,-5.5149
0,1,0.0000,0.0000,-5.4416,-5.2885,R,-5.2885
0,2,0.0000,-4.9795,-5.2138,0.0000,D,-4.9795
0,4,0.0000,-2.2411,0.0000,-1.0000,R,-1.0000
0,5,0.0000,0.0000,0.0000,0.0000,G,0.0000
1,0,-5.7742,-5.7688,0.0000,0.0000,D,-5.7688
1,2,-4.8642,-4.5659,0.0000,0.0000,D,-4.5659
1,4,-1.9000,-3.3826,0.0000,-1.9000,R,-1.9000
1,5,-1.0000,0.0000,-2.5502,0.0000,U,-1.0000
2,0,-5.8863,-5.9464,0.0000,0.0000,U,-5.8863
2,2,-4.6074,0.0000,0.0000,-4.0432,R,-4.0432
2,3,0.0000,0.0000,-3.8061,-3.4312,R,-3.4312
2,4,-2.7100,-3.2965,-3.8242,0.0000,U,-2.7100
3,0,-6.0832,-6.0144,0.0000,0.0000,D,-6.0144
3,4,-3.4389,-4.2302,0.0000,-3.6150,U,-3.4389
3,5,0.0000,0.0000,-3.5537,0.0000,L,-3.5537
4,0,-6.2309,-6.3942,0.0000,-6.1216,R,-6.1216
4,1,0.0000,0.0000,-6.3079,-5.6932,R,-5.6932
4,2,0.0000,-5.5318,-5.2710,-5.2161,R,-5.2161
4,3,0.0000,0.0000,-5.4980,-4.6852,R,-4.6852
4,4,-4.0949,-4.3724,-4.8530,0.0000,U,-4.0949
5,0,-6.5064,0.0000,0.0000,0.0000,U,-6.5064
5,2,-5.4835,0.0000,0.0000,0.0000,U,-5.4835
5,4,-4.3171,0.0000,0.0000,-4.1640,R,-4.1640
5,5,0.0000,0.0000,-4.1797,0.0000,L,-4.1797
